baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Fibrobacter	3384.97712098235	-0.102657945050304	0.882141670079054	-0.116373535603532	0.907356508396916	0.998557641529947
Flavobacterium	3382.37254121561	-0.0013968170735741	0.881669123778106	-0.00158428716159243	0.998735922262686	0.99996197636161
Ilyobacter	3341.92000941017	-0.268146619374454	0.884875898759143	-0.303033023896882	0.761864694673781	0.997000488191416
Plasmodium	3339.43048823693	1.3352179208649	0.945498129938569	1.41218462373019	0.157895606749996	0.997000488191416
Thermotoga	3264.44633068336	-0.40215870419642	0.888841863036315	-0.452452478804984	0.650943048320009	0.997000488191416
Thermosediminibacter	3254.83331831154	-0.365609693800263	0.887648828750938	-0.411885513683078	0.680423339166476	0.997000488191416
Turicibacter	3157.55279000804	0.507168631338137	0.892866440323583	0.568022952183458	0.570019383026727	0.997000488191416
Catenibacterium	3131.97536754885	0.031244818804441	0.881911218812905	0.0354285308293255	0.971738034675688	0.998557641529947
Halothermothrix	3041.34899024874	-0.307166173992706	0.886164410112304	-0.346624362801682	0.728873540512215	0.997000488191416
Gardnerella	2981.16060098586	-0.950281792382149	0.917687494744589	-1.03551786182575	0.300427129175779	0.997000488191416
Thermincola	2963.39378682784	0.150737949576237	0.883015474245732	0.170708163076073	0.86445324384473	0.998557641529947
Gemella	2914.77644300989	2.21109874099889	1.01459659855259	2.17928854103513	0.0293102399455981	0.770309692591522
Leptotrichia	2900.61728081632	0.0663440775114497	0.882276479087062	0.0751964708161544	0.940058392287048	0.998557641529947
Peptoniphilus	2885.75709514933	0.773084346604942	0.906575980265694	0.852751852501509	0.393796929299975	0.997000488191416
Lactococcus	2803.42379026253	-0.793162434747504	0.907964197294758	-0.873561355294293	0.382357179295568	0.997000488191416
Chloroflexus	2693.91974731967	0.0697020279458571	0.882521003955538	0.0789805881485498	0.937048063236883	0.998557641529947
Oceanobacillus	2672.75168281199	-0.810459715201013	0.909144034405632	-0.891453592093209	0.372685877748193	0.997000488191416
Chlorobium	2666.70097701505	-0.273786708223496	0.885653050829256	-0.309135397848112	0.757218533443246	0.997000488191416
